obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
650	2025-11-13	LIMNOS (AIRPORT)	9	11.25	2025-11-13	9	10.9121
650	2025-11-14	LIMNOS (AIRPORT)	9	10.95	2025-11-14	9	9.58063
650	2025-11-15	LIMNOS (AIRPORT)	9	12.45	2025-11-15	9	11.0433
650	2025-11-16	LIMNOS (AIRPORT)	9	14.25	2025-11-16	9	10.8244
650	2025-11-17	LIMNOS (AIRPORT)	9	14.45	2025-11-17	9	14.4189
650	2025-11-18	LIMNOS (AIRPORT)	9	17.15	2025-11-18	9	16.8283
650	2025-11-19	LIMNOS (AIRPORT)	9	17.45	2025-11-19	9	16.5806
650	2025-11-20	LIMNOS (AIRPORT)	9	16.25	2025-11-20	9	15.8699
650	2025-11-21	LIMNOS (AIRPORT)	9	17.65	2025-11-21	9	16.2022
650	2025-11-22	LIMNOS (AIRPORT)	9	15.95	2025-11-22	9	16.2558
650	2025-11-23	LIMNOS (AIRPORT)	9	13.75	2025-11-23	9	13.9517
